# 海川珠宝 Working Tree 路径级收敛清单
# snapshot_branch=codex/release-curation-20260814 snapshot_head=ea38fdc tracked_changes=218 untracked_files=298 staged=0
# 本文件本身计入 untracked_files；状态来自 git status --porcelain=v1 -uall。历史 migration draft 已完成可恢复清理，备份、素材和未裁决删除差异仍受各自保护门约束。
status	batch	consumer_or_role	replacement_or_target	protection	path
_D	B06-puck-registry14	Puck 演进区域待完整交互复核	尚未最终裁决	puck-delete-hold	client/src/page-builder/inspector/InspectorQuickActions.tsx
_D	B06-puck-registry14	Puck 演进区域待完整交互复核	尚未最终裁决	puck-delete-hold	client/src/page-builder/preview/previewGeometry.ts
_D	B08-exact-legacy-decision	当前运行时零消费者	Ant Tag/Catalog/ProfessionalProductEditor/PageDocument	approved-deletion	client/src/components/common/AdminStatusTag.tsx
_D	B08-exact-legacy-decision	当前运行时零消费者	Ant Tag/Catalog/ProfessionalProductEditor/PageDocument	approved-deletion	client/src/components/common/FilterPanel.tsx
_D	B08-exact-legacy-decision	当前运行时零消费者	Ant Tag/Catalog/ProfessionalProductEditor/PageDocument	approved-deletion	client/src/pages/admin/ProductEditor/index.tsx
_D	B08-exact-legacy-decision	当前运行时零消费者	Ant Tag/Catalog/ProfessionalProductEditor/PageDocument	approved-deletion	client/src/pages/public/ProductList/index.tsx
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/admin-auth-store-capabilities.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/admin-header-toolbar.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/booking-editor.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/content-template-previews.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/content-template-renderers.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/core-template-homepage.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/editor-draft-recovery.admin.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/editor-visual-redesign-acceptance.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/fixtures/booking-editor.tsx
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/fixtures/public-catalog-detail.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/inspector-context-panel.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/page-document-runtime-sync.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/page-publish-validation.admin.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/privacy-trust.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/product-editor-contract.spec.ts
_M	B01-verification-authority	根测试/目标合同/浏览器夹具	正式源码与机器合同	test-evidence	client/tests/public-access.spec.ts
